AOL02447.1,AGA15926.1,AAZ79676.1,AAR07955.1,AAS99282.1,AAS99281.1,AGA15924.1,ACB55317.1,AKU89598.1,AKU89597.1,ACB55316.1,AAS99259.1,AAS99250.1,AAS99251.1,AAS99248.1,ACB55314.1,AAS99286.1,AAS99254.1,AKU89599.1,AAS99289.1,AAS99243.1,AAS99290.1,AAS99244.1,ACB55311.1,AAO88193.1,AAS99306.1,AAO88209.1,AAO88196.1,AAS99240.1,ACB55315.1,AAS99258.1,AAS99246.1,AAS99253.1,AAS99252.1,AAO88206.1,AKU89601.1,AAS99256.1,ACB55312.1,AAO88186.1,AAO88184.1,AAO88185.1,ACB55305.1,AAO88203.1,AAO88204.1,AAS99296.1,ACB55309.1,ACB55308.1,AAS99291.1,AKU89603.1,AAB95452.1,ACB55304.1,AAS99301.1,AAS99300.1,AAS99268.1,AAS99265.1,AAS99308.1,AAS99287.1,AAS99280.1,AAS99307.1,ACB55307.1,AAS99278.1,AAS99298.1,AAS99284.1,AAS99304.1,AAS99309.1,AAU05368.1,AAU05372.1,AAU05358.1,AAU05371.1,AAS99277.1,AAS99273.1,AAS99271.1,AAT46339.1,pdb|4IOV|A,ABI16639.1,NP_044927.1,YP_077178.1,YP_077180.1,AAT46337.1,AAS99264.1,NP_049542.1,AAB95450.1,NP_043941.1,ABZ10812.1,3J1Q_A,AKU89595.1,YP_068409.1,YP_680426.1
       0.0,      16.0,       0.0,    4836.0,    4342.0,    4342.0,    1682.0,    4342.0,    4342.0,    4342.0,    4342.0,    4342.0,    4342.0,    4342.0,    4342.0,    4342.0,    4342.0,    4342.0,    4342.0,    4342.0,    4342.0,    4342.0,    4342.0,    4342.0,    4342.0,    2660.0,    4342.0,    1682.0,    1682.0,    4342.0,    4342.0,    4342.0,    4342.0,    2660.0,    4342.0,    4342.0,    4342.0,    4342.0,    4342.0,    4342.0,    4342.0,    1301.0,    1301.0,      26.0,    4342.0,    1682.0,    1682.0,    4342.0,    1682.0,    1682.0,    1682.0,    1682.0,    1682.0,    1682.0,    1682.0,    1682.0,    1682.0,    1682.0,    1682.0,    1682.0,    1682.0,    1682.0,    1682.0,    1682.0,    1682.0,    1682.0,    1682.0,    1682.0,    1682.0,    1682.0,       0.0,    1682.0,    5824.0,    5824.0,    3164.0,    5824.0,    4342.0,    4342.0,    4342.0,    4342.0,    4342.0,    4342.0,    1682.0,    4342.0,    1682.0,    4342.0,      16.0,    1682.0
       0.0,       0.0,    3295.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,    4606.0,       0.0
       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,    3283.0,       0.0
       0.0,       0.0,       0.0,       0.0,    1682.0,    1682.0,    1682.0,    1682.0,    1682.0,    1682.0,    1682.0,    1682.0,    1682.0,    1682.0,    1682.0,    1682.0,    1682.0,    1682.0,    1682.0,    1682.0,    1682.0,    1682.0,    1682.0,    1682.0,    1682.0,       0.0,    1682.0,    1682.0,    1682.0,    1682.0,    1682.0,    1682.0,    1682.0,       0.0,    1682.0,    1682.0,    1682.0,    1682.0,    1682.0,    1682.0,    1682.0,    1301.0,    1301.0,      26.0,    1682.0,    1682.0,    1682.0,    1682.0,    1682.0,    1682.0,    1682.0,    1682.0,    1682.0,    1682.0,    1682.0,    1682.0,    1682.0,    1682.0,    1682.0,    1682.0,    1682.0,    1682.0,    1682.0,    1682.0,    1682.0,    1682.0,    1682.0,    1682.0,    1682.0,    1682.0,       0.0,    1682.0,    3166.0,    3166.0,    3164.0,    3164.0,    1682.0,    1682.0,    1682.0,    1682.0,    1682.0,    1682.0,    1682.0,    1682.0,    1682.0,    1682.0,       0.0,    1682.0
       0.0,       0.0,       0.0,       0.0,       0.0,   10925.0,    5999.0,    8725.0,    8699.0,    8728.0,    7530.0,    7530.0,    8699.0,    8685.0,    8649.0,    8699.0,    8530.0,    7529.0,    8699.0,    8653.0,    8605.0,    8653.0,    8653.0,    8653.0,    8571.0,    3975.0,    8653.0,    6014.0,    5993.0,    8568.0,    8568.0,    8568.0,    8568.0,    3890.0,    8568.0,    8568.0,    8571.0,    8568.0,    8568.0,    8568.0,    8568.0,    5548.0,    5548.0,    1277.0,    8568.0,    5929.0,    5929.0,    8507.0,    5961.0,    5958.0,    5967.0,    5938.0,    5958.0,    5903.0,    5892.0,    5958.0,    5958.0,    5932.0,    5911.0,    5961.0,    5961.0,    5947.0,    5900.0,    5932.0,    5940.0,    5961.0,    5961.0,    5961.0,    5940.0,    5945.0,    1283.0,    5940.0,    4352.0,    4352.0,    1692.0,    4354.0,    8568.0,    8699.0,    8653.0,   10925.0,    8568.0,    8568.0,    5958.0,    8618.0,    6512.0,    8600.0,       0.0,    5961.0
       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,    5999.0,    8725.0,    8699.0,    8728.0,    7530.0,    7530.0,    8699.0,    8685.0,    8649.0,    8699.0,    8530.0,    7529.0,    8699.0,    8653.0,    8605.0,    8653.0,    8653.0,    8653.0,    8571.0,    3975.0,    8653.0,    6014.0,    5993.0,    8568.0,    8568.0,    8568.0,    8568.0,    3890.0,    8568.0,    8568.0,    8571.0,    8568.0,    8568.0,    8568.0,    8568.0,    5548.0,    5548.0,    1277.0,    8568.0,    5929.0,    5929.0,    8507.0,    5961.0,    5958.0,    5967.0,    5938.0,    5958.0,    5903.0,    5892.0,    5958.0,    5958.0,    5932.0,    5911.0,    5961.0,    5961.0,    5947.0,    5900.0,    5932.0,    5940.0,    5961.0,    5961.0,    5961.0,    5940.0,    5945.0,    1283.0,    5940.0,    4352.0,    4352.0,    1692.0,    4354.0,    8568.0,    8699.0,    8653.0,   10925.0,    8568.0,    8568.0,    5958.0,    8618.0,    6512.0,    8600.0,       0.0,    5961.0
       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,    5908.0,    5911.0,    5911.0,    4742.0,    4742.0,    5911.0,    5897.0,    5861.0,    5911.0,    5788.0,    4742.0,    5911.0,    5968.0,    5920.0,    5968.0,    5968.0,    5968.0,    5968.0,    1290.0,    5968.0,    5968.0,    6600.0,    6540.0,    6540.0,    6540.0,    6540.0,    1862.0,    5908.0,    5908.0,    5911.0,    5908.0,    5908.0,    5908.0,    5908.0,    5527.0,    5527.0,    1256.0,    5908.0,    5908.0,    5908.0,    5847.0,    6543.0,    5908.0,    6549.0,    5888.0,    5908.0,    5853.0,    5842.0,    5908.0,    5908.0,    5882.0,    5861.0,    6543.0,    6543.0,    6512.0,    6482.0,    6543.0,    6543.0,    6543.0,    6543.0,    6543.0,    6543.0,    6527.0,    1865.0,    6543.0,    1692.0,    1692.0,    1692.0,    1694.0,    5908.0,    5911.0,    5968.0,    5917.0,    5908.0,    6540.0,    5908.0,    5908.0,    5911.0,    5911.0,       0.0,    6543.0
       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,    9504.0,    9533.0,    7557.0,    7557.0,    8726.0,    8712.0,    8711.0,    8726.0,    8554.0,    7556.0,    8726.0,    8678.0,    8665.0,    8678.0,    8678.0,    8677.0,    8595.0,    3999.0,    8677.0,    5959.0,    6018.0,    8596.0,    8596.0,    8596.0,    8596.0,    3918.0,    8596.0,    8596.0,    8596.0,    8596.0,    8596.0,    8596.0,    8596.0,    5523.0,    5523.0,    1252.0,    8596.0,    5904.0,    5904.0,    8535.0,    6259.0,    7010.0,    6259.0,    6691.0,    6711.0,    6688.0,    6644.0,    6711.0,    6711.0,    6684.0,    6696.0,    5933.0,    5933.0,    5919.0,    5904.0,    5904.0,    5933.0,    5906.0,    5906.0,    5906.0,    5906.0,    5890.0,    1228.0,    5906.0,    4411.0,    4411.0,    1692.0,    4381.0,    8596.0,    8712.0,    8678.0,    8681.0,    8596.0,    8569.0,    7010.0,    9344.0,    5993.0,    9403.0,       0.0,    5933.0
       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,   10368.0,    7749.0,    7749.0,    8918.0,    8904.0,    8818.0,    8918.0,    8657.0,    7748.0,    8918.0,    8870.0,    8772.0,    8870.0,    8870.0,    8869.0,    8787.0,    4191.0,    8869.0,    6062.0,    6121.0,    8646.0,    8628.0,    8628.0,    8646.0,    3968.0,    8641.0,    8646.0,    8788.0,    8646.0,    8646.0,    8628.0,    8646.0,    5573.0,    5573.0,    1302.0,    8628.0,    5936.0,    5936.0,    8553.0,    5989.0,    6687.0,    5938.0,    6694.0,    6714.0,    6659.0,    6647.0,    6714.0,    6714.0,    6687.0,    6667.0,    5961.0,    5961.0,    5924.0,    5900.0,    5961.0,    5961.0,    5934.0,    5934.0,    5934.0,    5934.0,    5918.0,    1256.0,    5934.0,    4411.0,    4411.0,    1692.0,    4381.0,    8641.0,    9155.0,    8870.0,    8686.0,    8628.0,    8601.0,    6687.0,    9347.0,    6185.0,   10238.0,       0.0,    5961.0
       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,    7660.0,    7660.0,    8829.0,    8815.0,    8729.0,    8829.0,    8657.0,    7659.0,    8829.0,    8781.0,    8683.0,    8781.0,    8781.0,    8800.0,    8718.0,    4102.0,    8780.0,    6062.0,    6121.0,    8646.0,    8628.0,    8628.0,    8646.0,    3968.0,    8641.0,    8646.0,    8699.0,    8646.0,    8646.0,    8628.0,    8646.0,    5573.0,    5573.0,    1302.0,    8628.0,    5936.0,    5936.0,    8553.0,    6038.0,    6716.0,    5967.0,    6723.0,    6743.0,    6688.0,    6676.0,    6743.0,    6743.0,    6716.0,    6696.0,    5990.0,    5990.0,    5953.0,    5929.0,    5961.0,    5990.0,    5963.0,    5963.0,    5963.0,    5963.0,    5947.0,    1285.0,    5963.0,    4411.0,    4411.0,    1692.0,    4381.0,    8641.0,    9066.0,    8781.0,    8715.0,    8628.0,    8601.0,    6716.0,    9376.0,    6096.0,   10561.0,       0.0,    5990.0
