# YP_680426.1,NP_044927.1,NP_049542.1,NP_043941.1,YP_068409.1,AAB95450.1,YP_077178.1,YP_077180.1,AAS99264.1,AAT46337.1,AAT46339.1,ABZ10812.1,ABI16639.1,ABA71701.1,ABA71699.1,pdb|4IOV|A
       0.0,      96.0,     275.0,     369.0,      47.0,     289.0,     242.0,     262.0,     222.0,     268.0,      89.0,     381.0,      98.0,     269.0,     279.0,      89.0
      96.0,       0.0,     115.0,     117.0,      34.0,     113.0,     114.0,     103.0,     126.0,     111.0,     254.0,     161.0,     190.0,     113.0,     114.0,     256.0
     275.0,     115.0,       0.0,     286.0,      32.0,     666.0,     349.0,     327.0,     243.0,     328.0,     180.0,     293.0,      87.0,     666.0,     658.0,     180.0
     369.0,     117.0,     286.0,       0.0,      42.0,     299.0,     260.0,     268.0,     254.0,     264.0,     103.0,     465.0,     115.0,     282.0,     292.0,     101.0
      47.0,      34.0,      32.0,      42.0,       0.0,      44.0,      34.0,      31.0,      40.0,      30.0,      26.0,      42.0,      29.0,      44.0,      44.0,      26.0
     289.0,     113.0,     666.0,     299.0,      44.0,       0.0,     352.0,     332.0,     245.0,     339.0,     173.0,     306.0,      92.0,     666.0,     660.0,     173.0
     242.0,     114.0,     349.0,     260.0,      34.0,     352.0,       0.0,     386.0,     222.0,     388.0,     166.0,     254.0,      91.0,     348.0,     339.0,     166.0
     262.0,     103.0,     327.0,     268.0,      31.0,     332.0,     386.0,       0.0,     268.0,     470.0,     158.0,     265.0,      91.0,     317.0,     327.0,     158.0
     222.0,     126.0,     243.0,     254.0,      40.0,     245.0,     222.0,     268.0,       0.0,     272.0,      96.0,     291.0,      89.0,     242.0,     245.0,      96.0
     268.0,     111.0,     328.0,     264.0,      30.0,     339.0,     388.0,     470.0,     272.0,       0.0,     169.0,     286.0,      84.0,     322.0,     332.0,     169.0
      89.0,     254.0,     180.0,     103.0,      26.0,     173.0,     166.0,     158.0,      96.0,     169.0,       0.0,     106.0,     230.0,     173.0,     174.0,     703.0
     381.0,     161.0,     293.0,     465.0,      42.0,     306.0,     254.0,     265.0,     291.0,     286.0,     106.0,       0.0,      90.0,     295.0,     299.0,     106.0
      98.0,     190.0,      87.0,     115.0,      29.0,      92.0,      91.0,      91.0,      89.0,      84.0,     230.0,      90.0,       0.0,      92.0,      93.0,     231.0
     269.0,     113.0,     666.0,     282.0,      44.0,     666.0,     348.0,     317.0,     242.0,     322.0,     173.0,     295.0,      92.0,       0.0,     656.0,     173.0
     279.0,     114.0,     658.0,     292.0,      44.0,     660.0,     339.0,     327.0,     245.0,     332.0,     174.0,     299.0,      93.0,     656.0,       0.0,     174.0
      89.0,     256.0,     180.0,     101.0,      26.0,     173.0,     166.0,     158.0,      96.0,     169.0,     703.0,     106.0,     231.0,     173.0,     174.0,       0.0
