AAT46339.1,pdb|4IOV|A,ABI16639.1,NP_044927.1,YP_077178.1,YP_077180.1,AAT46337.1,AAS99264.1,NP_049542.1,AAB95450.1,NP_043941.1,ABZ10812.1,YP_680426.1,YP_068409.1,3J1Q_A,AKU89595.1
       0.0,     731.0,     705.0,     709.0,     689.0,     686.0,     682.0,     692.0,     692.0,     693.0,     691.0,     697.0,     682.0,     657.0,     690.0,     693.0
     731.0,       0.0,     705.0,     710.0,     689.0,     686.0,     684.0,     693.0,     694.0,     695.0,     691.0,     697.0,     682.0,     657.0,     690.0,     693.0
     705.0,     705.0,       0.0,     706.0,     678.0,     682.0,     678.0,     690.0,     679.0,     680.0,     692.0,     697.0,     677.0,     663.0,     690.0,     687.0
     709.0,     710.0,     706.0,       0.0,     693.0,     689.0,     679.0,     693.0,     692.0,     694.0,     692.0,     698.0,     685.0,     668.0,     686.0,     695.0
     689.0,     689.0,     678.0,     693.0,       0.0,     721.0,     722.0,     717.0,     718.0,     719.0,     719.0,     725.0,     717.0,     675.0,     718.0,     726.0
     686.0,     686.0,     682.0,     689.0,     721.0,       0.0,     727.0,     717.0,     721.0,     722.0,     724.0,     728.0,     721.0,     673.0,     727.0,     730.0
     682.0,     684.0,     678.0,     679.0,     722.0,     727.0,       0.0,     715.0,     724.0,     725.0,     721.0,     726.0,     718.0,     675.0,     721.0,     727.0
     692.0,     693.0,     690.0,     693.0,     717.0,     717.0,     715.0,       0.0,     712.0,     713.0,     713.0,     716.0,     708.0,     671.0,     708.0,     712.0
     692.0,     694.0,     679.0,     692.0,     718.0,     721.0,     724.0,     712.0,       0.0,     734.0,     720.0,     728.0,     715.0,     676.0,     711.0,     726.0
     693.0,     695.0,     680.0,     694.0,     719.0,     722.0,     725.0,     713.0,     734.0,       0.0,     720.0,     727.0,     714.0,     672.0,     710.0,     725.0
     691.0,     691.0,     692.0,     692.0,     719.0,     724.0,     721.0,     713.0,     720.0,     720.0,       0.0,     733.0,     719.0,     670.0,     716.0,     720.0
     697.0,     697.0,     697.0,     698.0,     725.0,     728.0,     726.0,     716.0,     728.0,     727.0,     733.0,       0.0,     712.0,     670.0,     712.0,     718.0
     682.0,     682.0,     677.0,     685.0,     717.0,     721.0,     718.0,     708.0,     715.0,     714.0,     719.0,     712.0,       0.0,     663.0,     727.0,     718.0
     657.0,     657.0,     663.0,     668.0,     675.0,     673.0,     675.0,     671.0,     676.0,     672.0,     670.0,     670.0,     663.0,       0.0,     671.0,     674.0
     690.0,     690.0,     690.0,     686.0,     718.0,     727.0,     721.0,     708.0,     711.0,     710.0,     716.0,     712.0,     727.0,     671.0,       0.0,     720.0
     693.0,     693.0,     687.0,     695.0,     726.0,     730.0,     727.0,     712.0,     726.0,     725.0,     720.0,     718.0,     718.0,     674.0,     720.0,       0.0
