AKU89597.1,AAU05358.1,AAS99314.1,AAS99260.1,AAS99279.1,AAS99258.1,AKU89601.1,ACB55311.1,AAS99310.1,AGA15924.1,AAS99301.1,AAS99288.1,AAZ79676.1,AAS99307.1,YP_077183.1,ACB55317.1,AAS99300.1,ACB55304.1,AAO88194.1,AAO88183.1,AAS99298.1,AHK22793.1,AAS99243.1,AAO88200.1,YP_077178.1,AKU89600.1,AAO88201.1,AAU05372.1,AAS99308.1,AAS99241.1,AAS99287.1,AAS99262.1,AAU05360.1,ACB55301.1,AAS99249.1,AAS99289.1,AAS99251.1,AKU89602.1,AAS99275.1,AAS99268.1,AAO88188.1,AAS99296.1,ACB55310.1,AAS99257.1,YP_680426.1,ACB55305.1,AAO88203.1,ACB55312.1,AAB95452.1,AAS99313.1,AAO88184.1,AAU05368.1,AAO88187.1,AAS99286.1,AAT48615.1,AAT48613.1,AAS99259.1,AAS99283.1,AAS99245.1,AAS99311.1,AAS99264.1,NP_043941.1,AAS99248.1,AAO88198.1,AAS99290.1,AAO88189.1,AAS99261.1,AAR07955.1,AAO88205.1,AAS99276.1,AAS99297.1,AAS99239.1,AAS99253.1,AKU89596.1,AAS99277.1,AAS99247.1,AKU89598.1,AAS99305.1,AAO88202.1,AAS99242.1,AAS99255.1,AAO88199.1,AAU05362.1,AAS99238.1,ACB55315.1,AAS99280.1,AAO88191.1,AAS99294.1,AOL02447.1,AAS99269.1,AAO88197.1,AKU89603.1,ABA71699.1,AAO88208.1,ACB55313.1,pdb|4IOV|A,AAS99285.1,AAO88185.1,AAU05370.1,AAO88206.1,AAT46339.1,AGA15925.1,AAS99306.1,ACB55306.1,ACB55309.1,AAS99278.1,AAS99274.1,AKU89599.1,AAS99271.1,YP_077180.1,AAT46337.1,AAO88186.1,AAU05364.1,AAS99284.1,AAS99282.1,AAS99265.1,3J1Q_A,AGA15926.1,AAO88193.1,AAO88190.1,NP_049542.1,AAS99312.1,AAS99309.1,AAO88196.1,AAS99254.1,ABA71701.1,AAS99250.1,ACB55307.1,AAS99246.1,AAS99293.1,ACB55308.1,AAO88207.1,AAS99270.1,AKU89595.1,AAS99302.1,AAS99240.1,ACB55302.1,NP_044927.1,AAS99263.1,ABI16639.1,AAS99252.1,AAS99291.1,ACB55303.1,AAS99266.1,AGA15927.1,YP_068409.1,AAS99281.1,AAO88209.1,AAS99304.1,AAS99273.1,ACB55314.1,AAO88204.1,AAB95450.1,AAS99303.1,AAS99256.1,AAO88192.1,AAS99292.1,AAS99267.1,AAZ79672.1,APD78414.1,AAU05371.1,AAO88195.1,ABZ10812.1,AAS99299.1,AAS99295.1,ACB55316.1,AAS99244.1
0,1994,1702,2102,1957,2336,2588,2765,1826,1570,1877,2733,392,2028,347,2711,2111,2163,2215,2703,1992,354,2641,2637,2330,3107,2769,1994,2082,2702,2053,1992,1970,2259,2686,2747,2682,2632,1994,1954,702,1997,2130,2591,2097,2022,2001,2334,2039,2158,2228,1985,598,2484,347,253,2741,2040,2723,2590,2062,2030,2636,2685,2695,702,1990,400,1850,2049,1917,2667,2324,2975,1805,2564,3184,2001,2142,2628,2756,2150,2018,2686,2349,1884,2255,1678,618,1931,2299,2401,2159,2654,2748,743,2757,2318,2156,2232,743,1632,2510,2150,1952,2012,1794,2956,1629,2714,2757,2318,2097,2040,2040,1879,2349,345,2735,2760,2130,2586,2097,2185,2704,2137,2760,2097,2276,1958,1952,2122,2157,2847,2032,2672,2268,644,2097,553,2287,1940,2268,2120,1798,359,2016,2719,1888,1902,2792,1989,2259,1957,2291,2260,1916,2494,510,2259,1987,2645,2183,1855,2087,2777,2755
1994,0,2405,2547,3082,1946,1866,1866,2959,2025,2394,2020,392,2558,343,2040,2636,2452,1711,2040,3087,359,1872,1940,1722,1978,1877,3452,2606,2025,2544,2780,3397,2125,1967,2040,1949,2491,3468,2437,529,1760,1952,1839,3204,1619,1618,1803,2487,2694,1748,3429,426,1759,343,256,1989,3137,1941,1896,1616,2473,1886,1807,1982,528,2483,347,1490,2477,2945,2040,1954,2052,3101,2017,1943,3068,1722,1739,2008,1744,3405,2152,1959,2305,1630,1868,639,3387,1704,2607,1990,1856,2042,569,2042,1791,2709,1662,569,2018,1638,1744,2136,3062,3277,1954,3032,1941,2042,1787,3182,3137,1674,2385,2439,389,1836,1870,1952,1875,3196,1749,2004,1968,2053,3222,1886,2933,2093,2402,2608,2160,2572,2141,2125,630,3270,673,1850,1797,2125,2617,1840,394,1674,1837,3092,3330,2050,1588,2125,3080,1834,1678,2060,1736,556,2125,3348,1940,2523,2937,3119,2025,2042
1702,2405,0,2629,2425,1638,1549,1643,2252,1798,2480,1562,291,2637,262,1759,2739,1989,1433,1759,2462,278,1493,1656,1409,1659,1593,2412,2641,1744,2624,2947,2353,1851,1477,1582,1479,2111,2391,2482,521,1681,1713,1390,2572,1422,1421,1513,2259,2827,1480,2398,436,1457,262,217,1499,2506,1494,1438,1530,2256,1402,1523,1525,480,2610,339,1350,2548,2369,1852,1645,1758,2249,1527,1652,2449,1467,1455,1536,1489,2475,1788,1651,2355,1386,1626,536,2329,1564,2165,1716,1492,1584,521,1584,1501,2642,1349,521,1752,1361,1489,1894,2435,2203,1663,2152,1494,1584,1496,2522,2506,1585,2620,1876,288,1643,1586,1713,1444,2510,1438,1514,1694,1563,2565,1578,2422,1849,1939,2680,1789,2657,1777,1860,654,2519,583,1542,1549,1860,2729,1642,288,1585,1555,2469,2271,1560,1333,1851,2525,1372,1413,1796,1485,538,1851,2375,1656,2462,2343,2537,1535,1583
2102,2547,2629,0,2567,1725,1776,1845,2394,1799,2801,1825,392,3141,368,2159,3059,2107,1699,2159,2604,384,1756,1919,1636,2059,1856,2554,3218,2144,3211,2977,2539,1962,1747,1845,1729,2314,2533,2840,550,1670,1863,1660,2714,1553,1552,1782,2581,3205,1762,2540,447,1539,368,281,1769,2647,1801,1701,1726,2604,1672,1786,1844,549,2778,339,1424,3050,2448,1881,1732,2038,2326,1797,2051,2592,1656,1718,1806,1678,2617,1919,1738,2824,1659,1779,604,2547,1685,2314,1862,1755,1847,590,1847,1770,3006,1576,590,1794,1624,1678,2047,2577,2345,1933,2174,1801,1847,1756,2675,2647,1784,2864,2125,389,1845,1849,1863,1680,2652,1627,1784,1840,1833,2707,1665,2461,2002,2057,3245,2173,2977,1908,1971,654,2661,576,1650,1705,1971,3095,1638,400,1784,1816,2512,2434,1847,1522,1962,2568,1652,1602,1966,1715,466,1962,2517,1919,2720,2519,2636,1805,1846
1957,3082,2425,2567,0,1835,1750,1829,2958,1927,2414,1809,392,2578,350,2007,2656,2333,1595,2007,3151,366,1727,1903,1606,1941,1840,3090,2626,1992,2562,2800,3041,2079,1756,1829,1738,2449,3068,2409,488,1722,1915,1628,3281,1503,1502,1687,2332,2714,1632,3067,385,1548,350,263,1778,3214,1730,1685,1555,2319,1675,1770,1771,487,2503,282,1374,2572,3013,2003,1843,2015,2704,1806,1906,3140,1610,1747,1797,1628,3160,2041,1848,2325,1593,1911,589,2987,1667,2503,1944,1745,1831,528,1831,1675,2683,1546,528,1920,1646,1628,2099,3145,2877,1917,2632,1730,1831,1671,3221,3214,1613,2361,2244,404,1799,1833,1915,1664,3232,1615,1793,1922,1842,3311,1775,3010,2056,2283,2628,2049,2731,2030,2088,589,3243,587,1793,1760,2088,2593,1790,409,1613,1800,3051,2984,1839,1564,2079,3110,1623,1562,2023,1744,553,2079,3043,1903,2441,3130,3183,1814,1831
2336,1946,1638,1725,1835,0,2777,2270,1756,1617,1541,2322,389,1651,352,2040,1774,2220,2308,2040,1880,360,2253,2131,2800,2255,2279,1946,1724,2032,1688,1914,1922,2343,2194,2339,2193,2371,1946,1592,699,2046,2179,2099,1975,2211,2190,2550,1760,1781,2453,1946,595,2071,352,256,2252,1918,2240,2196,1738,1751,2160,2202,2282,699,1734,366,2042,1701,1799,2431,3326,2378,1802,2067,2311,1892,2162,2138,2268,2338,1970,2523,3405,1508,1959,1752,614,1885,1976,2344,2208,2248,2335,740,2344,2534,1781,2682,740,1650,2022,2339,2001,1890,1746,2326,1581,2237,2344,2534,1975,1918,1718,1590,1958,345,2240,2256,2179,2173,1975,2054,2217,2208,2275,1975,3352,1922,2001,2179,1780,2358,1655,2527,2352,645,1975,555,3160,2018,2352,1755,1827,356,1718,2228,1918,1833,2320,2151,2343,1911,2519,2471,1968,2051,505,2343,1939,2155,1806,1747,1975,2285,2343
2588,1866,1549,1776,1750,2777,0,2521,1672,1479,1592,2477,407,1702,366,2203,1825,2045,2656,2195,1795,373,2508,2335,2911,2454,2471,1866,1756,2192,1739,1825,1842,2284,2369,2594,2368,2350,1866,1631,705,2019,2155,2274,1890,2435,2414,2851,1813,1832,2742,1854,601,2247,366,270,2424,1833,2413,2451,1774,1804,2328,2392,2537,705,1783,386,2331,1752,1714,2414,2768,2749,1722,2250,2549,1795,2454,2311,2440,2630,1890,2444,2817,1536,2218,1728,634,1805,2067,2234,2158,2440,2590,746,2599,2798,1830,2813,746,1527,2195,2631,1977,1805,1666,2619,1501,2409,2599,2835,1890,1833,1752,1629,2023,363,2491,2458,2155,2428,1890,2209,2392,2184,2450,1890,2741,1837,1977,2004,1831,2526,1706,2447,2293,648,1890,558,2753,1976,2293,1794,1706,377,1752,2420,1838,1774,2475,2442,2284,1826,2281,2741,1941,2224,505,2284,1859,2347,1857,1662,1890,2460,2598
2765,1866,1643,1845,1829,2270,2521,0,1697,1491,1630,3105,391,1781,318,2285,1864,2009,2236,2285,1864,325,3109,2932,2286,2624,3090,1866,1835,2277,1796,1864,1842,2145,2717,3185,2712,2428,1866,1707,705,1883,2016,2621,1969,1950,1929,2236,1782,1911,2127,1857,601,2568,318,235,2771,1912,2596,3043,1914,1773,2665,3042,3163,705,1862,403,1846,1802,1928,2741,2262,2762,1727,2587,2857,1873,2138,2968,2786,2146,1890,2698,2283,1765,2324,1568,651,1803,2620,2231,2045,2975,3216,746,3225,2220,1899,2188,746,1491,2850,2146,1838,1884,1666,3083,1501,2593,3225,2220,1969,1912,1894,1735,2256,333,3382,3057,2016,3054,1969,2477,2734,2023,2754,1969,2210,1892,1838,1968,1900,2485,1785,2687,2154,646,1969,556,2157,1852,2154,1873,1667,347,1894,3057,1819,1774,2808,1985,2145,1888,2380,2275,1802,2782,495,2145,1859,3003,1936,1727,1959,2807,3132
1826,2959,2252,2394,2958,1756,1672,1697,0,1794,2241,1715,399,2665,385,1878,2473,2252,1520,1878,2963,401,1721,1772,1527,1810,1709,2939,2453,1862,2458,2627,2918,1954,1661,1735,1643,2318,2945,2408,553,1597,1790,1587,3090,1428,1427,1609,2253,2531,1554,2906,450,1454,385,298,1683,3036,1635,1602,1427,2240,1852,1705,1677,552,2330,347,1299,2356,2816,1872,1764,1884,2578,1711,1774,2954,1531,1571,1702,1553,3037,1957,1769,2216,1532,1659,735,2865,1536,2418,1819,1661,1737,593,1737,1597,2500,1498,593,1787,1470,1553,1927,2938,2785,1785,2510,1635,1737,1593,3094,3036,1485,2190,2090,416,1667,1702,1790,1570,3095,1588,1705,1797,1747,3098,1753,2822,1884,2202,2455,1964,2409,1946,1963,590,3036,652,1660,1756,1963,2420,1657,421,1485,1669,2921,2807,1744,1397,1954,2951,1561,1487,1884,1568,426,1954,2920,1772,2315,2878,2995,1719,1737
1570,2025,1798,1799,1927,1617,1479,1491,1794,0,1625,1468,366,1767,295,1734,1897,1835,1325,1734,1968,302,1396,1536,1394,1570,1499,2025,1825,1774,1766,2037,1962,1911,1427,1482,1367,1859,2025,1715,403,1568,1759,1270,2063,1348,1348,1468,1804,1897,1447,2022,374,1203,295,273,1415,2006,1440,1338,1435,1795,1320,1430,1438,374,1702,353,1176,1872,1874,1693,1596,1572,1889,1414,1545,1944,1387,1420,1431,1371,1984,1651,1631,1599,1312,1608,607,1948,1338,1843,1776,1393,1490,415,1490,1456,1894,1360,415,3010,1304,1371,1801,1935,1823,1536,1731,1479,1490,1461,2063,2006,1428,1712,1552,534,1473,1487,1759,1394,2031,1373,1440,1776,1444,2063,1557,1909,1758,1785,1871,1577,1757,1632,1894,556,2111,476,1522,1608,1894,1836,2693,472,1428,1479,1932,1913,1457,1223,1911,1999,1275,1320,1725,1420,518,1911,2000,1541,1891,1866,2040,1422,1490
