YP_680426.1,NP_044927.1,NP_049542.1,NP_043941.1,YP_068409.1,AAB95450.1,YP_077178.1,YP_077180.1,AAS99264.1,AAT46337.1,AAT46339.1,ABZ10812.1,ABI16639.1,ABA71701.1,ABA71699.1,pdb|4IOV|A
0,343,521,572,289,525,507,510,487,529,354,577,340,518,519,351
343,0,375,372,272,379,389,382,360,377,498,394,490,376,375,502
521,375,0,552,291,717,545,533,503,540,391,551,336,719,715,393
572,372,552,0,295,554,516,527,515,529,364,642,355,549,547,362
289,272,291,295,0,300,307,306,293,311,272,304,265,302,300,271
525,379,717,554,300,0,547,536,502,544,391,555,338,717,713,393
507,389,545,516,307,547,0,582,486,586,386,523,348,540,537,385
510,382,533,527,306,536,582,0,529,633,385,539,360,536,537,383
487,360,503,515,293,502,486,529,0,524,345,531,338,501,497,346
529,377,540,529,311,544,586,633,524,0,386,549,347,541,543,388
354,498,391,364,272,391,386,385,345,386,0,369,523,406,408,725
577,394,551,642,304,555,523,539,531,549,369,0,343,546,543,352
340,490,336,355,265,338,348,360,338,347,523,343,0,342,339,513
518,376,719,549,302,717,540,536,501,541,406,546,342,0,715,394
519,375,715,547,300,713,537,537,497,543,408,543,339,715,0,396
351,502,393,362,271,393,385,383,346,388,725,352,513,394,396,0
