gi|478482906|ref|YP_007713556.1|CAS-V|cpf1|cpf1,KK211384.1,KLE02041.1,KXB38146.1,AUKC01000013.1,AUKD01000009.1,KKR91555.1,KKQ38174.1,KIX20262.1,EDZ90881.1,LFLB01000034.1,EHR33500.1,EOS46485.1,JHWS01000001.1,KE384587.1,KE384190.1,KK211334.1,KE384028.1,KE384121.1,KFO67989.1,AKC95493.1,KL370853.1,GL995220.1,KEJ92204.1,KUJ74576.1,BBPY01000028.1,BBPZ01000036.1,KKQ36153.1,WP_003040289.1,WP_004356401.1,WP_012739647.1,WP_013282991.1,WP_018359861.1,WP_020988726.1,WP_021736722.1,KDN25524.1,WP_024988992.1,AIZ56868.1,WP_035635841.1,WP_036890108.1,WP_044910712.1,WP_044919442.1,KKP36646.1,KKT48220.1
       0.0,     236.0,     236.0,     236.0,     236.0,     236.0,     237.0,     236.0,     236.0,     237.0,     236.0,     236.0,     236.0,     236.0,     236.0,     236.0,     236.0,     236.0,     236.0,     236.0,     236.0,     238.0,     237.0,     236.0,     236.0,       0.0,     236.0,     237.0,     237.0,     236.0,     237.0,     236.0,     236.0,     236.0,     237.0,     236.0,     236.0,     236.0,     236.0,     236.0,     237.0,     236.0,       0.0,     236.0
     236.0,       0.0,     228.0,     229.0,     228.0,     232.0,     228.0,     228.0,     228.0,     228.0,     228.0,     229.0,     228.0,     228.0,     230.0,     228.0,     228.0,     228.0,     228.0,     233.0,     228.0,     229.0,     228.0,     228.0,     229.0,       0.0,     229.0,     228.0,     228.0,     228.0,     228.0,     228.0,     228.0,     230.0,     228.0,     230.0,     228.0,     228.0,     228.0,     228.0,     228.0,     228.0,       0.0,     228.0
     236.0,     228.0,       0.0,     471.0,     465.0,     468.0,     465.0,     465.0,     469.0,     465.0,     465.0,     465.0,     474.0,     467.0,     465.0,     465.0,     465.0,     465.0,     468.0,     475.0,     466.0,     465.0,     465.0,     468.0,     466.0,       0.0,     467.0,     465.0,     466.0,     465.0,     465.0,     465.0,     466.0,     467.0,     465.0,     466.0,     466.0,     465.0,     466.0,     469.0,     465.0,     468.0,       0.0,     465.0
     236.0,     229.0,     471.0,       0.0,     221.0,     221.0,     221.0,     221.0,     227.0,     221.0,     221.0,     221.0,     232.0,     223.0,     225.0,     225.0,     221.0,     221.0,     225.0,     237.0,     221.0,     221.0,     221.0,     222.0,     229.0,       0.0,     223.0,     221.0,     223.0,     223.0,     222.0,     221.0,     228.0,     224.0,     222.0,     225.0,     228.0,     221.0,     223.0,     227.0,     221.0,     221.0,       0.0,     221.0
     236.0,     228.0,     465.0,     221.0,       0.0,     302.0,     257.0,     257.0,     257.0,     257.0,     257.0,     257.0,     260.0,     265.0,     258.0,     319.0,     259.0,     259.0,     323.0,     272.0,     257.0,     257.0,     257.0,     260.0,     257.0,       3.0,     260.0,     257.0,     257.0,     260.0,     257.0,     257.0,     257.0,     257.0,     257.0,     257.0,     261.0,     258.0,     259.0,     257.0,     257.0,     421.0,       0.0,     257.0
     236.0,     232.0,     468.0,     221.0,     302.0,       0.0,     232.0,     232.0,     232.0,     232.0,     232.0,     232.0,     237.0,     236.0,     232.0,     276.0,     233.0,     232.0,     288.0,     253.0,     232.0,     232.0,     232.0,     241.0,     232.0,       0.0,     240.0,     232.0,     232.0,     232.0,     232.0,     232.0,     232.0,     234.0,     232.0,     232.0,     236.0,     232.0,     239.0,     232.0,     232.0,     290.0,       0.0,     232.0
     237.0,     228.0,     465.0,     221.0,     257.0,     232.0,       0.0,      60.0,      60.0,      61.0,      60.0,      60.0,      60.0,      60.0,      60.0,      60.0,      60.0,      60.0,      60.0,      60.0,      60.0,      60.0,      60.0,      60.0,      60.0,       0.0,      60.0,      61.0,      61.0,      60.0,      60.0,      60.0,      60.0,      60.0,      61.0,      60.0,      60.0,      60.0,      60.0,      60.0,      61.0,      60.0,       0.0,      60.0
     236.0,     228.0,     465.0,     221.0,     257.0,     232.0,      60.0,       0.0,     178.0,     178.0,     178.0,     178.0,     178.0,     178.0,     178.0,     178.0,     178.0,     178.0,     178.0,     178.0,     178.0,     178.0,     178.0,     178.0,     178.0,       0.0,     178.0,     178.0,     183.0,     178.0,     178.0,     178.0,     178.0,     178.0,     178.0,     178.0,     178.0,     178.0,     179.0,     178.0,     178.0,     178.0,       0.0,     179.0
     236.0,     228.0,     469.0,     227.0,     257.0,     232.0,      60.0,     178.0,       0.0,     194.0,     190.0,     190.0,     190.0,     190.0,     201.0,     190.0,     197.0,     190.0,     190.0,     195.0,     190.0,     190.0,     190.0,     191.0,     194.0,       0.0,     190.0,     190.0,     194.0,     194.0,     190.0,     190.0,     190.0,     190.0,     190.0,     200.0,     191.0,     193.0,     190.0,     195.0,     190.0,     190.0,       0.0,     190.0
     237.0,     228.0,     465.0,     221.0,     257.0,     232.0,      61.0,     178.0,     194.0,       0.0,     156.0,     156.0,     157.0,     156.0,     160.0,     156.0,     156.0,     156.0,     156.0,     157.0,     156.0,     156.0,     156.0,     159.0,     164.0,       0.0,     159.0,     157.0,    1132.0,     156.0,     156.0,     156.0,     156.0,     156.0,     159.0,     160.0,     156.0,     156.0,     156.0,     156.0,     157.0,     156.0,       0.0,     156.0
